time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-03-28 00:30:00,1.36583,1.36606,1.36576,1.36603,21.00000,21,0.00000,
2023-03-28 00:45:00,1.36589,1.36604,1.36581,1.36588,23.00000,23,0.00000,
2023-03-28 01:00:00,1.36605,1.36624,1.36593,1.36622,109.00000,0,0.00000,
2023-03-28 01:15:00,1.36622,1.36626,1.36607,1.36611,188.00000,0,0.00000,
2023-03-28 01:30:00,1.36611,1.36614,1.36605,1.36605,472.00000,0,0.00000,
2023-03-28 01:45:00,1.36605,1.36639,1.36595,1.36629,487.00000,0,0.00000,
2023-03-28 02:00:00,1.36629,1.36646,1.36608,1.36613,182.00000,0,0.00000,
2023-03-28 02:15:00,1.36611,1.36612,1.36549,1.36560,255.00000,0,0.00000,
2023-03-28 02:30:00,1.36560,1.36577,1.36550,1.36557,379.00000,0,0.00000,
2023-03-28 02:45:00,1.36556,1.36561,1.36539,1.36557,313.00000,0,0.00000,
2023-03-28 03:00:00,1.36555,1.36578,1.36517,1.36536,424.00000,0,0.00000,
2023-03-28 03:15:00,1.36536,1.36554,1.36525,1.36543,308.00000,0,0.00000,
2023-03-28 03:30:00,1.36544,1.36545,1.36472,1.36492,372.00000,0,0.00000,
2023-03-28 03:45:00,1.36492,1.36508,1.36414,1.36441,570.00000,0,0.00000,
2023-03-28 04:00:00,1.36439,1.36471,1.36404,1.36470,590.00000,0,0.00000,
2023-03-28 04:15:00,1.36469,1.36492,1.36443,1.36447,611.00000,0,0.00000,
2023-03-28 04:30:00,1.36454,1.36462,1.36399,1.36451,755.00000,0,0.00000,
2023-03-28 04:45:00,1.36452,1.36458,1.36424,1.36432,480.00000,0,0.00000,
2023-03-28 05:00:00,1.36432,1.36461,1.36417,1.36424,469.00000,0,0.00000,
2023-03-28 05:15:00,1.36424,1.36445,1.36415,1.36415,375.00000,0,0.00000,
2023-03-28 05:30:00,1.36411,1.36414,1.36374,1.36379,420.00000,0,0.00000,
2023-03-28 05:45:00,1.36379,1.36415,1.36377,1.36405,300.00000,0,0.00000,
2023-03-28 06:00:00,1.36405,1.36405,1.36349,1.36365,458.00000,0,0.00000,
2023-03-28 06:15:00,1.36367,1.36397,1.36352,1.36356,547.00000,0,0.00000,
2023-03-28 06:30:00,1.36355,1.36374,1.36347,1.36367,344.00000,1,0.00000,
2023-03-28 06:45:00,1.36367,1.36390,1.36364,1.36366,254.00000,1,0.00000,
2023-03-28 07:00:00,1.36365,1.36385,1.36347,1.36384,199.00000,0,0.00000,
2023-03-28 07:15:00,1.36384,1.36406,1.36373,1.36396,249.00000,0,0.00000,
2023-03-28 07:30:00,1.36396,1.36398,1.36351,1.36368,151.00000,0,0.00000,
2023-03-28 07:45:00,1.36368,1.36406,1.36359,1.36397,237.00000,0,0.00000,
2023-03-28 08:00:00,1.36398,1.36412,1.36345,1.36348,344.00000,0,0.00000,
2023-03-28 08:15:00,1.36348,1.36368,1.36344,1.36357,459.00000,0,0.00000,
2023-03-28 08:30:00,1.36358,1.36361,1.36338,1.36340,231.00000,0,0.00000,
2023-03-28 08:45:00,1.36340,1.36356,1.36317,1.36353,356.00000,0,0.00000,
2023-03-28 09:00:00,1.36353,1.36353,1.36317,1.36346,580.00000,0,0.00000,
2023-03-28 09:15:00,1.36344,1.36395,1.36331,1.36383,460.00000,0,0.00000,
2023-03-28 09:30:00,1.36387,1.36426,1.36361,1.36426,405.00000,0,0.00000,
2023-03-28 09:45:00,1.36426,1.36437,1.36375,1.36435,407.00000,0,0.00000,
2023-03-28 10:00:00,1.36435,1.36435,1.36332,1.36386,869.00000,0,0.00000,
2023-03-28 10:15:00,1.36385,1.36419,1.36361,1.36364,933.00000,0,0.00000,
2023-03-28 10:30:00,1.36364,1.36394,1.36349,1.36362,890.00000,0,0.00000,
2023-03-28 10:45:00,1.36361,1.36445,1.36346,1.36434,820.00000,0,0.00000,
2023-03-28 11:00:00,1.36436,1.36569,1.36412,1.36564,755.00000,0,0.00000,
2023-03-28 11:15:00,1.36564,1.36696,1.36537,1.36687,799.00000,0,0.00000,
2023-03-28 11:30:00,1.36687,1.36746,1.36650,1.36734,853.00000,0,0.00000,
2023-03-28 11:45:00,1.36734,1.36827,1.36723,1.36812,654.00000,0,0.00000,
