time,open,high,low,close,volume,spread,tick_volume,real_volume
2023-12-01 10:00:00,2039.71000,2040.62000,2039.35000,2040.37000,1077.00000,4,,
2023-12-01 10:15:00,2040.36000,2041.85000,2039.80000,2040.74000,920.00000,4,,
2023-12-01 10:30:00,2040.75000,2042.79000,2040.65000,2041.77000,1091.00000,4,,
2023-12-01 10:45:00,2041.76000,2046.09000,2041.72000,2045.39000,1312.00000,4,,
2023-12-01 11:00:00,2045.37000,2046.74000,2044.89000,2046.01000,1301.00000,4,,
2023-12-01 11:15:00,2046.02000,2047.65000,2045.26000,2047.58000,1007.00000,4,,
2023-12-01 11:30:00,2047.43000,2049.86000,2047.42000,2048.21000,1257.00000,4,,
2023-12-01 11:45:00,2048.22000,2048.53000,2046.26000,2046.42000,1028.00000,4,,
2023-12-01 12:00:00,2046.48000,2047.24000,2045.52000,2046.05000,880.00000,4,,
2023-12-01 12:15:00,2046.02000,2046.20000,2044.26000,2044.46000,751.00000,4,,
2023-12-01 12:30:00,2044.53000,2045.00000,2043.58000,2044.45000,744.00000,4,,
2023-12-01 12:45:00,2044.47000,2044.54000,2043.23000,2043.75000,831.00000,4,,
2023-12-01 13:00:00,2043.77000,2044.19000,2041.64000,2042.81000,863.00000,4,,
2023-12-01 13:15:00,2042.80000,2042.90000,2040.80000,2041.39000,786.00000,4,,
2023-12-01 13:30:00,2041.40000,2041.50000,2037.90000,2038.14000,1015.00000,4,,
2023-12-01 13:45:00,2038.10000,2038.63000,2036.52000,2037.08000,1147.00000,8,,
2023-12-01 14:00:00,2037.08000,2038.52000,2036.64000,2037.81000,1043.00000,4,,
2023-12-01 14:15:00,2037.78000,2038.24000,2036.92000,2037.86000,933.00000,4,,
2023-12-01 14:30:00,2037.86000,2038.52000,2037.40000,2037.55000,805.00000,4,,
2023-12-01 14:45:00,2037.56000,2037.59000,2033.89000,2036.08000,1336.00000,4,,
2023-12-01 15:00:00,2036.06000,2037.27000,2035.16000,2037.06000,1624.00000,4,,
2023-12-01 15:15:00,2037.05000,2039.37000,2036.34000,2038.32000,1659.00000,5,,
2023-12-01 15:30:00,2038.55000,2038.55000,2035.08000,2036.08000,1556.00000,5,,
2023-12-01 15:45:00,2036.16000,2038.35000,2035.86000,2037.70000,1364.00000,4,,
2023-12-01 16:00:00,2037.72000,2038.59000,2035.52000,2035.71000,1518.00000,4,,
2023-12-01 16:15:00,2035.74000,2037.19000,2035.24000,2036.89000,1358.00000,4,,
2023-12-01 16:30:00,2036.93000,2040.70000,2035.46000,2040.59000,2144.00000,4,,
2023-12-01 16:45:00,2040.23000,2043.37000,2040.16000,2042.50000,2066.00000,5,,
2023-12-01 17:00:00,2042.54000,2048.73000,2042.05000,2045.69000,2879.00000,5,,
2023-12-01 17:15:00,2045.80000,2053.26000,2043.68000,2048.50000,2589.00000,4,,
2023-12-01 17:30:00,2048.56000,2048.58000,2046.15000,2047.92000,2348.00000,4,,
2023-12-01 17:45:00,2047.93000,2051.58000,2047.66000,2049.35000,2016.00000,5,,
